section,count_nonnull,mean,median,std,min,max
Location,122,7.991803278688525,7.5,2.218427339762865,0.0,10.0
Staff,123,7.520325203252033,7.5,2.725410462381392,0.0,10.0
Comfort,124,7.318548387096774,7.5,2.302644889131742,0.0,10.0
Value for money,124,7.17741935483871,7.5,2.666560121134032,0.0,10.0
Review score,124,7.048387096774194,7.5,2.527426271180807,1.0,10.0
Cleanliness,124,6.915322580645161,7.5,2.5524751053415597,0.0,10.0
Facilities,124,6.834677419354839,7.5,2.5524751053415597,0.0,10.0
