,Review score_num,Staff_num,Cleanliness_num,Location_num,Facilities_num,Comfort_num,Value for money_num,overall_num
Review score_num,1.0,0.6353529872304917,0.7290617195573441,0.4601931205357082,0.7643282445014297,0.7035021209625,0.6989886125458897,1.0
Staff_num,0.6353529872304917,1.0,0.6699564447934743,0.6449386132737247,0.7144280240077285,0.6049047255616768,0.6763231679990025,0.6353529872304917
Cleanliness_num,0.7290617195573441,0.6699564447934743,1.0,0.6346871413627339,0.9303100823951196,0.8031182911978062,0.8156719239142726,0.7290617195573441
Location_num,0.4601931205357082,0.6449386132737247,0.6346871413627339,1.0,0.6506678918233815,0.5866653866688606,0.6471051837136257,0.4601931205357082
Facilities_num,0.7643282445014297,0.7144280240077285,0.9303100823951196,0.6506678918233815,1.0,0.8178991817033991,0.8192842885020237,0.7643282445014297
Comfort_num,0.7035021209625,0.6049047255616768,0.8031182911978062,0.5866653866688606,0.8178991817033991,1.0,0.7434642070257518,0.7035021209625
Value for money_num,0.6989886125458897,0.6763231679990025,0.8156719239142726,0.6471051837136257,0.8192842885020237,0.7434642070257518,1.0,0.6989886125458897
overall_num,1.0,0.6353529872304917,0.7290617195573441,0.4601931205357082,0.7643282445014297,0.7035021209625,0.6989886125458897,1.0
