Staff_num,Cleanliness_num,Location_num,Facilities_num,Comfort_num,Value for money_num,overall_num,review_date_parsed
10.0,10.0,10.0,10.0,10.0,10.0,10,2024-07-28 19:21:35
7.5,7.5,7.5,7.5,7.5,7.5,7,2024-08-01 12:35:26
0.0,0.0,0.0,0.0,7.5,0.0,9,2024-08-06 05:01:29
7.5,7.5,7.5,7.5,7.5,7.5,8,2024-08-20 17:41:09
10.0,7.5,10.0,7.5,7.5,7.5,8,2024-08-25 08:54:16
7.5,5.0,5.0,5.0,7.5,5.0,5,2024-08-28 21:07:33
2.5,2.5,5.0,2.5,2.5,2.5,1,2024-09-02 04:50:28
7.5,7.5,7.5,7.5,7.5,7.5,9,2024-09-15 13:23:20
10.0,7.5,10.0,7.5,7.5,7.5,10,2024-09-19 18:06:09
2.5,7.5,7.5,5.0,5.0,7.5,4,2024-09-23 07:44:02
10.0,10.0,10.0,10.0,10.0,10.0,9,2024-10-05 13:05:07
7.5,10.0,10.0,10.0,10.0,7.5,8,2024-10-08 03:59:37
10.0,7.5,10.0,5.0,5.0,5.0,7,2024-10-14 04:47:15
7.5,7.5,7.5,7.5,7.5,7.5,8,2024-10-15 02:35:48
5.0,5.0,7.5,2.5,5.0,5.0,4,2024-11-18 01:47:51
10.0,10.0,10.0,10.0,10.0,10.0,10,2024-11-30 15:24:03
5.0,2.5,5.0,2.5,2.5,2.5,1,2024-12-15 14:55:36
10.0,7.5,7.5,7.5,7.5,7.5,9,2024-12-24 03:04:55
7.5,7.5,10.0,7.5,7.5,7.5,8,2024-12-29 08:53:54
0.0,5.0,7.5,5.0,5.0,5.0,4,2025-01-01 19:47:24
10.0,10.0,10.0,10.0,10.0,10.0,10,2025-01-17 03:09:27
10.0,7.5,10.0,7.5,7.5,10.0,9,2025-01-30 15:53:21
10.0,7.5,10.0,7.5,7.5,10.0,9,2025-01-30 15:53:41
10.0,7.5,10.0,7.5,7.5,10.0,9,2025-01-30 15:54:02
10.0,7.5,10.0,7.5,7.5,7.5,8,2025-02-13 03:27:18
7.5,7.5,7.5,5.0,7.5,7.5,5,2025-02-20 00:53:05
10.0,7.5,10.0,7.5,10.0,7.5,7,2025-03-14 08:23:13
10.0,5.0,7.5,5.0,2.5,5.0,5,2025-03-28 15:20:54
2.5,2.5,2.5,2.5,2.5,2.5,1,2025-04-08 17:12:03
10.0,7.5,10.0,7.5,10.0,10.0,10,2025-04-14 15:35:25
10.0,10.0,10.0,10.0,10.0,10.0,10,2025-04-16 23:34:57
10.0,7.5,10.0,7.5,10.0,10.0,10,2025-05-04 01:10:35
10.0,10.0,10.0,10.0,10.0,10.0,10,2025-05-05 03:59:32
5.0,7.5,7.5,7.5,5.0,7.5,6,2025-05-07 21:03:35
,2.5,,2.5,2.5,2.5,2,2025-05-09 14:02:49
7.5,7.5,5.0,7.5,10.0,7.5,9,2025-05-09 23:20:04
7.5,10.0,10.0,10.0,7.5,7.5,10,2025-05-12 02:52:35
7.5,7.5,7.5,7.5,7.5,7.5,7,2025-05-18 18:26:56
10.0,10.0,10.0,10.0,10.0,10.0,10,2025-05-19 14:34:46
7.5,7.5,7.5,7.5,7.5,7.5,7,2025-05-26 14:49:31
2.5,5.0,7.5,5.0,7.5,5.0,5,2025-06-18 03:31:46
5.0,7.5,7.5,7.5,7.5,7.5,6,2025-07-08 07:24:26
5.0,2.5,7.5,2.5,7.5,0.0,3,2025-07-18 14:34:48
5.0,2.5,7.5,2.5,5.0,2.5,1,2025-08-04 05:55:41
