word,count
location,25
nice,8
very,7
clean,6
close,6
great,5
staff,5
comfortable,5
event,5
convenient,4
good,4
breakfast,4
just,4
one,4
lot,4
coffee,4
where,4
checking,4
out,4
only,3
big,3
too,3
rooms,3
near,3
front,3
bed,3
again,3
price,3
service,3
two,3
drive,2
highway,2
night,2
friendly,2
venue,2
needed,2
attend,2
upper,2
marlboro,2
far,2
